"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17689","navigate to Mac section","chromium","Tue Oct 07 16:42:38 PST 2025","passed","Tue Oct 07 16:42:56 PST 2025","","example.spec.ts","",""
"","8410","homepage has title","chromium","Tue Oct 07 16:42:38 PST 2025","passed","Tue Oct 07 16:42:46 PST 2025","","example.spec.ts","",""
